loop_epoch,test_ratio,test_type,MAP1,MAP3,MAP5,nDCG1,nDCG3,nDCG5
1,0.0,Human,46.666666666666664,64.44444444444444,67.44444444444446,46.666666666666664,70.15812676190554,75.60832253062509
1,0.0,LLM,46.666666666666664,57.77777777777777,64.11111111111111,46.666666666666664,61.74573004761944,72.93827992398424
1,0.0,Human Target,33.33333333333333,46.666666666666664,48.33333333333333,33.33333333333333,51.74573004761943,54.61690710144206
1,0.0,LLM Target,13.333333333333334,30.0,35.66666666666667,13.333333333333334,34.36432511904858,44.97255831756204
2,0.4666666666666667,Human,26.666666666666668,34.44444444444444,46.111111111111114,26.666666666666668,37.53953169047639,59.04815642642897
2,0.4666666666666667,LLM,20.0,34.444444444444436,42.77777777777778,20.0,40.872865023809716,56.639135652117055
2,0.4666666666666667,Human Target,0.0,8.888888888888888,12.222222222222221,0.0,11.745730047619434,17.488084155264673
2,0.4666666666666667,LLM Target,20.0,22.22222222222222,26.222222222222225,20.0,23.333333333333332,31.07038947802417
