loop_epoch,test_ratio,test_type,MAP1,MAP3,MAP5,nDCG1,nDCG3,nDCG5
1,0.0,Human,46.666666666666664,64.44444444444444,67.44444444444446,46.666666666666664,70.15812676190554,75.60832253062509
1,0.0,LLM,40.0,51.11111111111111,59.111111111111114,40.0,55.079063380952775,69.1427903111402
1,0.0,Human Target,33.33333333333333,42.22222222222222,46.888888888888886,33.33333333333333,45.079063380952775,53.40043620349495
1,0.0,LLM Target,13.333333333333334,28.888888888888886,33.22222222222223,13.333333333333334,33.49146009523887,41.520674578855385
2,0.4666666666666667,Human,6.666666666666667,22.22222222222222,34.22222222222223,6.666666666666667,28.412396714286103,50.21317978916435
2,0.4666666666666667,LLM,6.666666666666667,26.666666666666668,35.66666666666667,6.666666666666667,35.07906338095277,51.42965068711146
2,0.4666666666666667,Human Target,6.666666666666667,11.11111111111111,12.444444444444445,6.666666666666667,13.333333333333334,15.912352048230277
2,0.4666666666666667,LLM Target,0.0,3.3333333333333335,10.666666666666668,0.0,4.206198357143051,17.68560860947912
